什么是SYN Flood攻击和ACK Flood攻击？,SYN Flood攻击是一种典型的DoS （Denial of Service）攻击，是一种利用TCP协议缺陷，发送大量伪造的TCP连接请求，从而使被攻击方资源耗尽（CPU满负荷或内存不足）的攻击方式。该攻击将使服务器TCP连接资源耗尽，停止响应正常的TCP连接请求。ACK Flood攻击原理与SYN Flood攻击原理类似。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
﻿﻿什么是CC攻击？,CC攻击是攻击者借助代理服务器生成指向受害主机的合法请求，实现DDoS和伪装攻击。攻击者通过控制某些主机不停地发送大量数据包给对方服务器，造成服务器资源耗尽，直至宕机崩溃。例如，当一个网页访问的人数特别多的时候，用户打开网页就慢了，CC攻击模拟多个用户（多少线程就是多少用户）不停地访问需要大量数据操作（需要占用大量的CPU资源）的页面，造成服务器资源的浪费，CPU的使用率长时间处于100%，将一直在处理连接直至网络拥塞，导致正常的访问被中止。Anti-DDoS通过设置“CC防护”控制HTTP请求速率。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
﻿﻿什么是慢速连接攻击？,慢速连接攻击是CC攻击的变种，该攻击的基本原理说明如下：对任何一个允许HTTP访问的服务器，攻击者先在客户端上向该服务器建立一个content-length比较大的连接，然后通过该连接以非常低的速度（例如，1秒～10秒发一个字节）向服务器发包，并维持该连接不断开。如果攻击者在客户端上不断建立这样的连接，服务器上可用的连接将慢慢被占满，从而导致服务器拒绝用户正常的访问申请。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
﻿﻿什么是UDP攻击和TCP攻击？,UDP攻击和TCP攻击是攻击者利用UDP和TCP协议的交互过程特点，通过僵尸网络，向服务器发送大量各种类型的TCP连接报文或UDP异常报文，造成服务器的网络带宽资源被耗尽，从而导致服务器处理能力降低、运行异常。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
﻿﻿什么是黑洞？,黑洞是指在一定时间段内限制服务器的外网通信。当服务器的业务遇到大流量攻击时，Anti-DDoS将调用运营商黑洞，在运营商侧丢弃流量，屏蔽服务器的外网访问，以缓解DDoS攻击对机房带宽的压力。当IP进入黑洞一段时间后，如果系统监控到攻击流量停止，黑洞会自动解封。由于运营商对黑洞解除时间和频率都有严格的限制。因此，黑洞状态无法人工解除，请耐心等待系统自动解封。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
﻿﻿如何理解“百万级的IP黑名单库”？,百万级的IP黑名单库是指Anti-DDoS基于多年积累的DDoS防护经验，搜集的恶意IP数量已达到百万级别。当用户的业务受到这些恶意IP攻击时，Anti-DDoS可以快速响应，及时为用户提供DDoS攻击防护服务。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
﻿﻿Anti-DDoS有何使用限制？,仅提供不超过5Gbit/s流量的DDoS攻击防护。对大于5Gbit/s的流量，系统会进行自动限流措施（正常访问流量会丢失）；对于正常业务流量超过5Gbit/s流量的应用，建议用户购买华为的DDoS高防，提升防护能力。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
﻿﻿哪些服务可以使用Anti-DDoS？,Anti-DDoS仅支持对华为云内的弹性云服务器、弹性负载均衡和裸金属服务器提供流量清洗功能。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
﻿﻿如何使用Anti-DDoS？,为实例IP地址开启Anti-DDoS后，即可正常使用。登录管理控制台。单击管理控制台左上角的，选择区域和项目。选择“安全 > Anti-DDoS流量清洗”，进入Anti-DDoS服务管理界面。在“实例列表”界面，开启实例IP的Anti-DDoS防护。批量开启单击“一键开启DDoS防护”，为所有未开启防护的实例IP开启Anti-DDoS防护。单个开启在待开启防护的实例IP地址所在行，单击“开启防护”。在弹出的对话框中，单击“确定”。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
﻿﻿Anti-DDoS能帮助阻止哪些类型的攻击？,Anti-DDoS可以轻松应对流量拥塞型攻击，精确识别连接耗尽型、慢速攻击，帮助用户防护以下攻击：Web服务器类攻击SYN Flood攻击、HTTP Flood攻击、CC（Challenge Collapsar）攻击、慢速连接类攻击等。游戏类攻击UDP（User Datagram Protocol ） Flood攻击、SYN Flood、TCP（Transmission Control Protocol ）类攻击、分片攻击等。HTTPS服务器的攻击SSL DoS/DDoS类攻击等。DNS服务器的各类攻击DNS（Domain Name Server）协议栈漏洞攻击、DNS反射攻击、DNS Flood攻击、DNS CacheMiss攻击等。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
